"성별","연령계층별","시점","15세이상인구[천명]","경제활동인구[천명]","취업자[천명]","실업자[천명]","비경제활동인구[천명]","경제활동참가율[%]","실업률[%]","고용률[%]",
"계","25 - 29세","2017. 06 월","3330.9","2570.2","2313.2","257","760.7","77.2","10","69.4",
"계","25 - 29세","2017. 07 월","3338.9","2542.6","2310.4","232.2","796.3","76.2","9.1","69.2",
"계","25 - 29세","2017. 08 월","3347.7","2539.8","2301.1","238.8","807.9","75.9","9.4","68.7",
"계","25 - 29세","2017. 09 월","3356.3","2545.9","2312","233.9","810.4","75.9","9.2","68.9",
"계","25 - 29세","2017. 10 월","3365.5","2537.9","2324.5","213.4","827.6","75.4","8.4","69.1",
"계","25 - 29세","2017. 11 월","3374.4","2542.8","2303.4","239.4","831.6","75.4","9.4","68.3",
"계","25 - 29세","2017. 12 월","3383.1","2533","2306.7","226.3","850","74.9","8.9","68.2",
"계","25 - 29세","2018. 01 월","3390.5","2528.8","2324.4","204.4","861.7","74.6","8.1","68.6",
"계","25 - 29세","2018. 02 월","3398.4","2577.8","2366.3","211.6","820.5","75.9","8.2","69.6",
"계","25 - 29세","2018. 03 월","3405.7","2636.6","2360.2","276.5","769.1","77.4","10.5","69.3",
"계","25 - 29세","2018. 04 월","3413.7","2639.8","2361.5","278.3","773.9","77.3","10.5","69.2",
"계","25 - 29세","2018. 05 월","3421.4","2678.3","2402","276.3","743.1","78.3","10.3","70.2",
"계","25 - 29세","2018. 06 월","3429.2","2653.3","2429.2","224.1","775.9","77.4","8.4","70.8",
"계","25 - 29세","2018. 07 월","3436.2","2661.1","2440.1","221","775.2","77.4","8.3","71",
"계","25 - 29세","2018. 08 월","3443.2","2670.2","2429.1","241.1","773","77.5","9","70.5",
"계","25 - 29세","2018. 09 월","3450.2","2659.4","2439.6","219.8","790.8","77.1","8.3","70.7",
"계","25 - 29세","2018. 10 월","3457.2","2639.8","2426.1","213.6","817.4","76.4","8.1","70.2",
"계","25 - 29세","2018. 11 월","3464","2669.1","2465.8","203.3","794.8","77.1","7.6","71.2",
